Product Name,Original Price (in Rs.),Discount Percentage,Final Price (in Rs.),Ratings,Total Ratings count
"Lenovo IdeaPad Slim 5 12th Gen Intel Core i5 12450H 14"" (36cm) WUXGA IPS 300Nits Thin and Light Laptop (16GB/1TB SSD/Win 11/Office 21/BacklitKB/FHD Camera/Alexa/3 Mon Game Pass/Grey/1.9Kg)","82,590",25%,"61,720",4.1,83
Chuwi FreeBook 13.5 Inch 2 in 1 Touchscreen Laptop,"49,990",24%,"37,990",3.7,129
Dell 15 Laptop,"51,254",22%,"39,990",4.3,19
Dell 15 Laptop,"48,692",20%,"38,990",3.8,499
Dell Inspiron 3530 Laptop,"87,262",30%,"60,990",3.7,68
(Refurbished) Dell Latitude Laptop 5490 Intel Core i7 Mobile-8th Gen -Processor ,"99,990",58%,"41,990",No Ratings,No Ratings
(Refurbished) Dell Latitude Laptop 5490 Intel Core i7 Mobile-8th Gen -Processor ,"99,990",69%,"30,890",No Ratings,No Ratings
(Refurbished) Dell Latitude Laptop 3380 Intel Core i5 Mobile-7th Gen Processor ,"79,990",58%,"33,990",No Ratings,No Ratings
(Refurbished) Lenovo Thinkpad Laptop T480 Intel Core i7 8th Generation - 8550u Processor 8 GB Ram & 2 TB SSD,"1,09,000",60%,"43,590",No Ratings,No Ratings
(Refurbished) Dell Latitude Laptop 5410 Intel Core i5 Mobile-10th Gen -Processor ,"1,19,000",69%,"36,790",No Ratings,No Ratings
(Refurbished) Lenovo Thinkpad Laptop T480 Intel Core i7 8th Generation - 8550u Processor 64GB RAM & 1 TB SSD,"1,09,000",56%,"48,490",No Ratings,No Ratings
(Refurbished) Dell Latitude Laptop 3380 Intel Core i5 Mobile-7th Gen Processor ,"79,990",61%,"30,990",No Ratings,No Ratings
(Refurbished) Dell Precision 7510 Intel Core i7 - 6820HQ Quad Core Processor 6th Gen,"1,29,000",69%,"39,790",No Ratings,No Ratings
(Refurbished) Dell Latitude Laptop 5490 Intel Core i7 Mobile-8th Gen -Processor ,"99,990",71%,"29,290",No Ratings,No Ratings
(Refurbished) Dell Latitude Laptop 5490 Intel Core i7 Mobile-8th Gen -Processor ,"99,990",66%,"33,790",No Ratings,No Ratings
(Refurbished) Dell Latitude Laptop 5490 Intel Core i7 Mobile-8th Gen -Processor ,"99,990",70%,"29,990",No Ratings,No Ratings
(Refurbished) Dell Latitude Laptop 5410 Intel Core i5 Mobile-10th Gen -Processor ,"1,19,000",63%,"43,590",No Ratings,No Ratings
Acer Swift Go 14 AI PC Premium Laptop Intel Core Ultra 7 155H (35.56cm 14-inch IPS Touchscreen WUXGA/16GB/1TB SSD/Intel Arc Graphics/1440p Camera with Shutter/Win 11/MSO)SFG14-73T,"1,29,990",19%,"1,04,999",No Ratings,No Ratings
Acer Swift Go 14 AI PC Premium Laptop Intel Core Ultra 7 155H (35.56cm 14-inch OLED WQXGA+/16GB LPDDR5x/1TB SSD/Intel Arc Graphics/1440p Camera with Shutter/Win 11/MSO) SFG14-73,"1,29,990",19%,"1,04,999",No Ratings,No Ratings
"Lenovo IdeaPad Slim 5 13th Gen Intel Core i5 13420H 14"" (35.5cm) WUXGA OLED 400Nits Laptop (16GB/512GB SSD/Win 11/Office 2021/Backlit KB/FHD Camera/Alexa/3 Month Game Pass/Grey/1.46Kg)","94,590",26%,"70,190",3.9,14
(Refurbished) Lenovo Thinkpad Laptop T480 Intel Core i7 8th Generation - 8550u Processor 64GB RAM & 512 GB SSD,"1,09,000",58%,"45,490",No Ratings,No Ratings
(Refurbished) Dell Latitude Laptop 5490 Intel Core i5 Mobile-8th Gen -Processor ,"99,990",64%,"35,990",No Ratings,No Ratings
(Refurbished) Lenovo Thinkpad Laptop T460s Ultra Slim Light Weight 1.28KG Intel Core i7 6th Gen - 6600u Processor 8 GB Ram & 1 TB SSD,"89,990",65%,"31,590",No Ratings,No Ratings
(Refurbished) Dell Latitude Laptop 5410 Intel Core i5 Mobile-10th Gen -Processor ,"1,19,000",68%,"37,590",No Ratings,No Ratings
(Refurbished) Dell Precision 7520 Intel Core i7 - 7920HQ Quad Core Processor 7th Gen,"1,49,000",67%,"48,790",No Ratings,No Ratings
(Refurbished) Lenovo Thinkpad Laptop T480 Intel Core i7 8th Generation - 8550u Processor 16 GB Ram & 1 TB SSD,"1,09,000",64%,"38,990",No Ratings,No Ratings
(Refurbished) Dell Latitude Laptop 3380 Intel Core i5 Mobile-7th Gen Processor ,"79,990",51%,"39,590",No Ratings,No Ratings
(Refurbished) Dell Latitude Laptop 5490 Intel Core i7 Mobile-8th Gen -Processor ,"99,990",55%,"45,490",No Ratings,No Ratings
(Refurbished) Lenovo Thinkpad Laptop T480 Intel Core i7 8th Generation - 8550u Processor 16 GB Ram & 128 GB SSD,"1,09,000",69%,"33,890",No Ratings,No Ratings
(Refurbished) Dell Precision 7510 Intel Core i7 - 6820HQ Quad Core Processor 6th Gen,"1,29,000",64%,"46,590",No Ratings,No Ratings
(Refurbished) Dell Latitude Laptop 3380 Intel Core i5 Mobile-7th Gen Processor ,"79,990",70%,"24,290",No Ratings,No Ratings
(Refurbished) Dell Latitude Laptop 5490 Intel Core i7 Mobile-8th Gen -Processor ,"99,990",65%,"34,690",No Ratings,No Ratings
"Lenovo IdeaPad Slim 5 13th Gen Intel Core i5 13500H 16""(40.6cm) WUXGA IPS Laptop (16GB/512GB SSD/Win 11/Office 2021/Backlit KB/FHD Camera/Alexa/3 Month Game Pass/Cloud Grey/1.89Kg)","1,05,190",32%,"71,690",4.1,25
"Lenovo IdeaPad Slim 5 12th Gen Intel Core i5 12450H 14"" (36cm) WUXGA IPS 300Nits Thin and Light Laptop (16GB/1TB SSD/Win 11/Office 21/BacklitKB/FHD Camera/Alexa/3 Mon Game Pass/Grey/1.9Kg)","82,590",25%,"61,720",4.1,83
Chuwi FreeBook 13.5 Inch 2 in 1 Touchscreen Laptop,"49,990",24%,"37,990",3.7,129
Dell 14 Laptop,"62,511",12%,"54,990",3.8,499
Dell 15 Laptop,"51,254",22%,"39,990",4.3,19
Dell Inspiron 3530 Laptop,"87,262",30%,"60,990",3.7,68
(Refurbished) Dell Latitude Laptop 5410 Intel Core i5 Mobile-10th Gen -Processor ,"1,19,000",67%,"38,990",No Ratings,No Ratings
(Refurbished) Lenovo Thinkpad Laptop T460s Ultra Slim Light Weight 1.28KG Intel Core i7 6th Gen - 6600u Processor 32 GB Ram & 1 TB SSD,"89,990",60%,"35,990",No Ratings,No Ratings
(Refurbished) Dell Latitude Laptop 5410 Intel Core i5 Mobile-10th Gen -Processor ,"1,19,000",65%,"41,490",No Ratings,No Ratings
(Refurbished) Dell Latitude Laptop 3380 Intel Core i5 Mobile-7th Gen Processor ,"79,990",73%,"21,590",No Ratings,No Ratings
(Refurbished) Dell Latitude Laptop 5490 Intel Core i5 Mobile-8th Gen -Processor ,"99,990",60%,"39,990",No Ratings,No Ratings
(Refurbished) Dell Precision 7510 Intel Core i7 - 6820HQ Quad Core Processor 6th Gen,"1,29,000",55%,"57,490",No Ratings,No Ratings
(Refurbished) Dell Precision 7510 Intel Core i7 - 6820HQ Quad Core Processor 6th Gen,"1,29,000",67%,"41,990",No Ratings,No Ratings
(Refurbished) Lenovo Thinkpad Laptop T480 Intel Core i7 8th Generation - 8550u Processor 64GB RAM & 256 GB SSD,"1,09,000",60%,"43,990",No Ratings,No Ratings
(Refurbished) Dell Precision 7510 Intel Core i7 - 6820HQ Quad Core Processor 6th Gen,"1,29,000",74%,"32,996",No Ratings,No Ratings
(Refurbished) Dell Latitude Laptop 5410 Intel Core i5 Mobile-10th Gen -Processor ,"1,19,000",68%,"38,290",No Ratings,No Ratings
(Refurbished) Dell Latitude Laptop 5490 Intel Core i7 Mobile-8th Gen -Processor ,"99,990",67%,"33,090",No Ratings,No Ratings
(Refurbished) Dell Precision 7520 Intel Core i7 - 7920HQ Quad Core Processor 7th Gen,"1,49,000",64%,"53,990",No Ratings,No Ratings
Acer Swift Go 14 AI PC Premium Laptop Intel Core Ultra 7 155H (35.56cm 14-inch IPS Touchscreen WUXGA/16GB/1TB SSD/Intel Arc Graphics/1440p Camera with Shutter/Win 11/MSO)SFG14-73T,"1,29,990",19%,"1,04,999",No Ratings,No Ratings
Acer Swift Go 14 AI PC Premium Laptop Intel Core Ultra 7 155H (35.56cm 14-inch OLED WQXGA+/16GB LPDDR5x/1TB SSD/Intel Arc Graphics/1440p Camera with Shutter/Win 11/MSO) SFG14-73,"1,29,990",19%,"1,04,999",No Ratings,No Ratings
"Lenovo IdeaPad Slim 5 13th Gen Intel Core i5 13420H 14"" (35.5cm) WUXGA OLED 400Nits Laptop (16GB/512GB SSD/Win 11/Office 2021/Backlit KB/FHD Camera/Alexa/3 Month Game Pass/Grey/1.46Kg)","94,590",26%,"70,190",3.9,14
(Refurbished) Dell Precision 7520 Intel Core i7 - 7920HQ Quad Core Processor 7th Gen,"1,49,000",69%,"46,490",No Ratings,No Ratings
(Refurbished) Lenovo Thinkpad Laptop T480 Intel Core i7 8th Generation - 8550u Processor 16 GB Ram & 2 TB SSD,"1,09,000",59%,"44,990",No Ratings,No Ratings
(Refurbished) Dell Latitude Laptop 5410 Intel Core i5 Mobile-10th Gen -Processor ,"1,19,000",61%,"46,690",No Ratings,No Ratings
(Refurbished) Dell Latitude Laptop 5490 Intel Core i7 Mobile-8th Gen -Processor ,"99,990",68%,"31,590",No Ratings,No Ratings
(Refurbished) Lenovo Thinkpad Laptop T480 Intel Core i7 8th Generation - 8550u Processor 32GB RAM & 256 GB SSD,"1,09,000",65%,"37,690",No Ratings,No Ratings
(Refurbished) Dell Latitude Laptop 3380 Intel Core i5 Mobile-7th Gen Processor ,"79,990",71%,"22,990",No Ratings,No Ratings
(Refurbished) Lenovo Thinkpad Laptop T460s Ultra Slim Light Weight 1.28KG Intel Core i7 6th Gen - 6600u Processor 16 GB Ram & 1 TB SSD,"89,990",64%,"32,290",No Ratings,No Ratings
(Refurbished) Dell Latitude Laptop 5410 Intel Core i5 Mobile-10th Gen -Processor ,"1,19,000",58%,"49,590",No Ratings,No Ratings
(Refurbished) Dell Precision 7520 Intel Core i7 - 7920HQ Quad Core Processor 7th Gen,"1,49,000",67%,"49,590",No Ratings,No Ratings
(Refurbished) Lenovo Thinkpad Laptop T480 Intel Core i7 8th Generation - 8550u Processor 32GB RAM & 1 TB SSD,"1,09,000",61%,"41,990",No Ratings,No Ratings
(Refurbished) Dell Precision 7510 Intel Core i7 - 6820HQ Quad Core Processor 6th Gen,"1,29,000",65%,"45,790",No Ratings,No Ratings
(Refurbished) Lenovo Thinkpad Laptop T480 Intel Core i7 8th Generation - 8550u Processor 4 GB Ram & 256 GB SSD,"1,09,000",70%,"32,290",No Ratings,No Ratings
"Lenovo IdeaPad Slim 5 13th Gen Intel Core i5 13500H 16""(40.6cm) WUXGA IPS Laptop (16GB/512GB SSD/Win 11/Office 2021/Backlit KB/FHD Camera/Alexa/3 Month Game Pass/Cloud Grey/1.89Kg)","1,05,190",32%,"71,690",4.1,25
"Lenovo IdeaPad Slim 5 12th Gen Intel Core i5 12450H 14"" (36cm) WUXGA IPS 300Nits Thin and Light Laptop (16GB/1TB SSD/Win 11/Office 21/BacklitKB/FHD Camera/Alexa/3 Mon Game Pass/Grey/1.9Kg)","82,590",25%,"61,720",4.1,83
Chuwi FreeBook 13.5 Inch 2 in 1 Touchscreen Laptop,"49,990",24%,"37,990",3.7,129
Dell 15 Laptop,"48,692",20%,"38,990",3.8,499
Dell 15 Laptop,"51,254",22%,"39,990",4.3,19
Dell Inspiron 3530 Laptop,"87,262",30%,"60,990",3.7,68
(Refurbished) Dell Latitude Laptop 3380 Intel Core i5 Mobile-7th Gen Processor ,"79,990",70%,"24,290",No Ratings,No Ratings
(Refurbished) Dell Latitude Laptop 5490 Intel Core i5 Mobile-8th Gen -Processor ,"99,990",61%,"38,990",No Ratings,No Ratings
(Refurbished) Dell Latitude Laptop 5410 Intel Core i5 Mobile-10th Gen -Processor ,"1,19,000",59%,"48,490",No Ratings,No Ratings
(Refurbished) Dell Latitude Laptop 5490 Intel Core i5 Mobile-8th Gen -Processor ,"99,990",64%,"35,990",No Ratings,No Ratings
(Refurbished) Lenovo Thinkpad Laptop T460s Ultra Slim Light Weight 1.28KG Intel Core i7 6th Gen - 6600u Processor 8 GB Ram & 512 GB SSD,"89,990",68%,"28,590",No Ratings,No Ratings
(Refurbished) Lenovo Thinkpad Laptop T460s Ultra Slim Light Weight 1.28KG Intel Core i7 6th Gen - 6600u Processor 4 GB Ram & 128 GB SSD,"89,990",72%,"25,490",No Ratings,No Ratings
(Refurbished) Dell Latitude Laptop 5490 Intel Core i7 Mobile-8th Gen -Processor ,"99,990",64%,"35,990",No Ratings,No Ratings
(Refurbished) Dell Precision 7520 Intel Core i7 - 7920HQ Quad Core Processor 7th Gen,"1,49,000",68%,"47,290",No Ratings,No Ratings
(Refurbished) Lenovo Thinkpad Laptop T460s Ultra Slim Light Weight 1.28KG Intel Core i7 6th Gen - 6600u Processor 32 GB Ram & 128 GB SSD,"89,990",66%,"30,990",No Ratings,No Ratings
(Refurbished) Lenovo Thinkpad Laptop T460s Ultra Slim Light Weight 1.28KG Intel Core i7 6th Gen - 6600u Processor 32 GB Ram & 256 GB SSD,"89,990",65%,"31,690",No Ratings,No Ratings
(Refurbished) Dell Latitude Laptop 3380 Intel Core i5 Mobile-7th Gen Processor ,"79,990",68%,"25,790",No Ratings,No Ratings
(Refurbished) Dell Precision 7520 Intel Core i7 - 7920HQ Quad Core Processor 7th Gen,"1,49,000",65%,"51,990",No Ratings,No Ratings
Acer Swift Go 14 AI PC Premium Laptop Intel Core Ultra 7 155H (35.56cm 14-inch IPS Touchscreen WUXGA/16GB/1TB SSD/Intel Arc Graphics/1440p Camera with Shutter/Win 11/MSO)SFG14-73T,"1,29,990",19%,"1,04,999",No Ratings,No Ratings
Acer Swift Go 14 AI PC Premium Laptop Intel Core Ultra 7 155H (35.56cm 14-inch OLED WQXGA+/16GB LPDDR5x/1TB SSD/Intel Arc Graphics/1440p Camera with Shutter/Win 11/MSO) SFG14-73,"1,29,990",19%,"1,04,999",No Ratings,No Ratings
"Lenovo IdeaPad Slim 5 13th Gen Intel Core i5 13420H 14"" (35.5cm) WUXGA OLED 400Nits Laptop (16GB/512GB SSD/Win 11/Office 2021/Backlit KB/FHD Camera/Alexa/3 Month Game Pass/Grey/1.46Kg)","94,590",26%,"70,190",3.9,14
(Refurbished) Dell Latitude Laptop 5410 Intel Core i5 Mobile-10th Gen -Processor ,"1,19,000",50%,"58,990",No Ratings,No Ratings
(Refurbished) Dell Precision 7520 Intel Core i7 - 7920HQ Quad Core Processor 7th Gen,"1,49,000",61%,"57,790",No Ratings,No Ratings
(Refurbished) Dell Latitude Laptop 5490 Intel Core i5 Mobile-8th Gen -Processor ,"99,990",58%,"41,990",No Ratings,No Ratings
(Refurbished) Lenovo Thinkpad Laptop T460s Ultra Slim Light Weight 1.28KG Intel Core i7 6th Gen - 6600u Processor 16 GB Ram & 128 GB SSD,"89,990",69%,"27,890",No Ratings,No Ratings
(Refurbished) Dell Latitude Laptop 5490 Intel Core i5 Mobile-8th Gen -Processor ,"99,990",71%,"29,290",No Ratings,No Ratings
(Refurbished) Lenovo Thinkpad Laptop T480 Intel Core i7 8th Generation - 8550u Processor 64GB RAM & 2 TB SSD,"1,09,000",50%,"54,490",No Ratings,No Ratings
(Refurbished) Dell Precision 7520 Intel Core i7 - 7920HQ Quad Core Processor 7th Gen,"1,49,000",60%,"59,990",No Ratings,No Ratings
(Refurbished) Dell Precision 7520 Intel Core i7 - 7920HQ Quad Core Processor 7th Gen,"1,49,000",61%,"58,590",No Ratings,No Ratings
(Refurbished) Dell Latitude Laptop 5490 Intel Core i7 Mobile-8th Gen -Processor ,"99,990",60%,"39,990",No Ratings,No Ratings
(Refurbished) Dell Precision 7520 Intel Core i7 - 7920HQ Quad Core Processor 7th Gen,"1,49,000",65%,"52,690",No Ratings,No Ratings
(Refurbished) Dell Precision 7510 Intel Core i7 - 6820HQ Quad Core Processor 6th Gen,"1,29,000",60%,"51,190",No Ratings,No Ratings
(Refurbished) Lenovo Thinkpad Laptop T480 Intel Core i7 8th Generation - 8550u Processor 4 GB Ram & 1 TB SSD,"1,09,000",66%,"36,790",No Ratings,No Ratings
"Lenovo IdeaPad Slim 5 13th Gen Intel Core i5 13500H 16""(40.6cm) WUXGA IPS Laptop (16GB/512GB SSD/Win 11/Office 2021/Backlit KB/FHD Camera/Alexa/3 Month Game Pass/Cloud Grey/1.89Kg)","1,05,190",32%,"71,690",4.1,25
"Lenovo IdeaPad Slim 5 12th Gen Intel Core i5 12450H 14"" (36cm) WUXGA IPS 300Nits Thin and Light Laptop (16GB/1TB SSD/Win 11/Office 21/BacklitKB/FHD Camera/Alexa/3 Mon Game Pass/Grey/1.9Kg)","82,590",25%,"61,720",4.1,83
Chuwi FreeBook 13.5 Inch 2 in 1 Touchscreen Laptop,"49,990",24%,"37,990",3.7,129
Dell 14 Laptop,"62,511",12%,"54,990",3.8,499
Dell 15 Laptop,"51,254",22%,"39,990",4.3,19
Dell Inspiron 3530 Laptop,"87,262",30%,"60,990",3.7,68
(Refurbished) Lenovo Thinkpad Laptop T480 Intel Core i7 8th Generation - 8550u Processor 8 GB Ram & 1 TB SSD,"1,09,000",66%,"37,590",No Ratings,No Ratings
(Refurbished) Lenovo Thinkpad Laptop T460s Ultra Slim Light Weight 1.28KG Intel Core i7 6th Gen - 6600u Processor 4 GB Ram & 1 TB SSD,"89,990",66%,"30,790",No Ratings,No Ratings
(Refurbished) Dell Latitude Laptop 5410 Intel Core i5 Mobile-10th Gen -Processor ,"1,19,000",65%,"41,990",No Ratings,No Ratings
(Refurbished) Dell Latitude Laptop 5490 Intel Core i5 Mobile-8th Gen -Processor ,"99,990",72%,"28,490",No Ratings,No Ratings
(Refurbished) Dell Latitude Laptop 5410 Intel Core i5 Mobile-10th Gen -Processor ,"1,19,000",60%,"47,290",No Ratings,No Ratings
(Refurbished) Dell Precision 7510 Intel Core i7 - 6820HQ Quad Core Processor 6th Gen,"1,29,000",60%,"51,490",No Ratings,No Ratings
(Refurbished) Dell Latitude Laptop 5490 Intel Core i5 Mobile-8th Gen -Processor ,"99,990",55%,"44,990",No Ratings,No Ratings
(Refurbished) Lenovo Thinkpad Laptop T460s Ultra Slim Light Weight 1.28KG Intel Core i7 6th Gen - 6600u Processor 8 GB Ram & 256 GB SSD,"89,990",70%,"26,990",No Ratings,No Ratings
(Refurbished) Lenovo Thinkpad Laptop T480 Intel Core i7 8th Generation - 8550u Processor 16 GB Ram & 512 GB SSD,"1,09,000",67%,"35,990",No Ratings,No Ratings
(Refurbished) Dell Precision 7520 Intel Core i7 - 7920HQ Quad Core Processor 7th Gen,"1,49,000",59%,"60,490",No Ratings,No Ratings
(Refurbished) Dell Latitude Laptop 5490 Intel Core i5 Mobile-8th Gen -Processor ,"99,990",58%,"42,490",No Ratings,No Ratings
(Refurbished) Dell Precision 7520 Intel Core i7 - 7920HQ Quad Core Processor 7th Gen,"1,49,000",68%,"47,990",No Ratings,No Ratings
Acer Swift Go 14 AI PC Premium Laptop Intel Core Ultra 7 155H (35.56cm 14-inch IPS Touchscreen WUXGA/16GB/1TB SSD/Intel Arc Graphics/1440p Camera with Shutter/Win 11/MSO)SFG14-73T,"1,29,990",19%,"1,04,999",No Ratings,No Ratings
Acer Swift Go 14 AI PC Premium Laptop Intel Core Ultra 7 155H (35.56cm 14-inch OLED WQXGA+/16GB LPDDR5x/1TB SSD/Intel Arc Graphics/1440p Camera with Shutter/Win 11/MSO) SFG14-73,"1,29,990",19%,"1,04,999",No Ratings,No Ratings
"Lenovo IdeaPad Slim 5 13th Gen Intel Core i5 13420H 14"" (35.5cm) WUXGA OLED 400Nits Laptop (16GB/512GB SSD/Win 11/Office 2021/Backlit KB/FHD Camera/Alexa/3 Month Game Pass/Grey/1.46Kg)","94,590",26%,"70,190",3.9,14
(Refurbished) Dell Latitude Laptop 3380 Intel Core i5 Mobile-7th Gen Processor ,"79,990",63%,"29,990",No Ratings,No Ratings
(Refurbished) Dell Latitude Laptop 3380 Intel Core i5 Mobile-7th Gen Processor ,"79,990",70%,"23,690",No Ratings,No Ratings
(Refurbished) Dell Latitude Laptop 5410 Intel Core i5 Mobile-10th Gen -Processor ,"1,19,000",58%,"49,990",No Ratings,No Ratings
(Refurbished) Dell Latitude Laptop 5410 Intel Core i5 Mobile-10th Gen -Processor ,"1,19,000",68%,"38,390",No Ratings,No Ratings
(Refurbished) Dell Precision 7510 Intel Core i7 - 6820HQ Quad Core Processor 6th Gen,"1,29,000",73%,"35,290",No Ratings,No Ratings
(Refurbished) Dell Latitude Laptop 5490 Intel Core i7 Mobile-8th Gen -Processor ,"99,990",59%,"40,990",No Ratings,No Ratings
(Refurbished) Lenovo Thinkpad Laptop T480 Intel Core i7 8th Generation - 8550u Processor 16 GB Ram & 256 GB SSD,"1,09,000",68%,"34,590",No Ratings,No Ratings
(Refurbished) Dell Latitude Laptop 5490 Intel Core i5 Mobile-8th Gen -Processor ,"99,990",70%,"29,990",No Ratings,No Ratings
(Refurbished) Dell Latitude Laptop 3380 Intel Core i5 Mobile-7th Gen Processor ,"79,990",64%,"28,990",No Ratings,No Ratings
(Refurbished) Dell Latitude Laptop 5490 Intel Core i5 Mobile-8th Gen -Processor ,"99,990",67%,"32,990",No Ratings,No Ratings
(Refurbished) Dell Latitude Laptop 5490 Intel Core i7 Mobile-8th Gen -Processor ,"99,990",59%,"40,590",No Ratings,No Ratings
(Refurbished) Dell Latitude Laptop 5410 Intel Core i5 Mobile-10th Gen -Processor ,"1,19,000",60%,"47,690",No Ratings,No Ratings
"Lenovo IdeaPad Slim 5 13th Gen Intel Core i5 13500H 16""(40.6cm) WUXGA IPS Laptop (16GB/512GB SSD/Win 11/Office 2021/Backlit KB/FHD Camera/Alexa/3 Month Game Pass/Cloud Grey/1.89Kg)","1,05,190",32%,"71,690",4.1,25
"Lenovo IdeaPad Slim 5 12th Gen Intel Core i5 12450H 14"" (36cm) WUXGA IPS 300Nits Thin and Light Laptop (16GB/1TB SSD/Win 11/Office 21/BacklitKB/FHD Camera/Alexa/3 Mon Game Pass/Grey/1.9Kg)","82,590",25%,"61,720",4.1,83
Chuwi FreeBook 13.5 Inch 2 in 1 Touchscreen Laptop,"49,990",24%,"37,990",3.7,129
Dell 14 Laptop,"62,511",12%,"54,990",3.8,499
Dell 15 Laptop,"51,254",22%,"39,990",4.3,19
Dell Inspiron 3530 Laptop,"87,262",30%,"60,990",3.7,68
(Refurbished) Dell Latitude Laptop 5490 Intel Core i7 Mobile-8th Gen -Processor ,"99,990",65%,"34,590",No Ratings,No Ratings
(Refurbished) Dell Latitude Laptop 3380 Intel Core i5 Mobile-7th Gen Processor ,"79,990",61%,"31,490",No Ratings,No Ratings
(Refurbished) Dell Latitude Laptop 3380 Intel Core i5 Mobile-7th Gen Processor ,"79,990",68%,"25,690",No Ratings,No Ratings
(Refurbished) Lenovo Thinkpad Laptop T460s Ultra Slim Light Weight 1.28KG Intel Core i7 6th Gen - 6600u Processor 16 GB Ram & 256 GB SSD,"89,990",68%,"28,590",No Ratings,No Ratings
(Refurbished) Lenovo Thinkpad Laptop T480 Intel Core i7 8th Generation - 8550u Processor 32GB RAM & 128 GB SSD,"1,09,000",66%,"36,990",No Ratings,No Ratings
(Refurbished) Dell Precision 7520 Intel Core i7 - 7920HQ Quad Core Processor 7th Gen,"1,49,000",67%,"48,890",No Ratings,No Ratings
(Refurbished) Dell Latitude Laptop 5410 Intel Core i5 Mobile-10th Gen -Processor ,"1,19,000",65%,"41,290",No Ratings,No Ratings
(Refurbished) Dell Latitude Laptop 5410 Intel Core i5 Mobile-10th Gen -Processor ,"1,19,000",70%,"35,990",No Ratings,No Ratings
(Refurbished) Dell Latitude Laptop 5410 Intel Core i5 Mobile-10th Gen -Processor ,"1,19,000",66%,"40,590",No Ratings,No Ratings
(Refurbished) Dell Latitude Laptop 3380 Intel Core i5 Mobile-7th Gen Processor ,"79,990",63%,"29,390",No Ratings,No Ratings
(Refurbished) Lenovo Thinkpad Laptop T480 Intel Core i7 8th Generation - 8550u Processor 32GB RAM & 2 TB SSD,"1,09,000",56%,"47,990",No Ratings,No Ratings
(Refurbished) Dell Latitude Laptop 5410 Intel Core i5 Mobile-10th Gen -Processor ,"1,19,000",65%,"41,990",No Ratings,No Ratings
Acer Swift Go 14 AI PC Premium Laptop Intel Core Ultra 7 155H (35.56cm 14-inch IPS Touchscreen WUXGA/16GB/1TB SSD/Intel Arc Graphics/1440p Camera with Shutter/Win 11/MSO)SFG14-73T,"1,29,990",19%,"1,04,999",No Ratings,No Ratings
Acer Swift Go 14 AI PC Premium Laptop Intel Core Ultra 7 155H (35.56cm 14-inch OLED WQXGA+/16GB LPDDR5x/1TB SSD/Intel Arc Graphics/1440p Camera with Shutter/Win 11/MSO) SFG14-73,"1,29,990",19%,"1,04,999",No Ratings,No Ratings
"Lenovo IdeaPad Slim 5 13th Gen Intel Core i5 13420H 14"" (35.5cm) WUXGA OLED 400Nits Laptop (16GB/512GB SSD/Win 11/Office 2021/Backlit KB/FHD Camera/Alexa/3 Month Game Pass/Grey/1.46Kg)","94,590",26%,"70,190",3.9,14
(Refurbished) Dell Latitude Laptop 5410 Intel Core i5 Mobile-10th Gen -Processor ,"1,19,000",60%,"47,990",No Ratings,No Ratings
(Refurbished) Dell Latitude Laptop 5410 Intel Core i5 Mobile-10th Gen -Processor ,"1,19,000",55%,"52,990",No Ratings,No Ratings
(Refurbished) Dell Latitude Laptop 5490 Intel Core i7 Mobile-8th Gen -Processor ,"99,990",66%,"33,990",No Ratings,No Ratings
(Refurbished) Dell Latitude Laptop 3380 Intel Core i5 Mobile-7th Gen Processor ,"79,990",58%,"33,890",No Ratings,No Ratings
(Refurbished) Lenovo Thinkpad Laptop T480 Intel Core i7 8th Generation - 8550u Processor 4 GB Ram & 512 GB SSD,"1,09,000",69%,"33,790",No Ratings,No Ratings
(Refurbished) Dell Precision 7520 Intel Core i7 - 7920HQ Quad Core Processor 7th Gen,"1,49,000",65%,"51,790",No Ratings,No Ratings
(Refurbished) Lenovo Thinkpad Laptop T480 Intel Core i7 8th Generation - 8550u Processor 4 GB Ram & 128 GB SSD,"1,09,000",71%,"31,490",No Ratings,No Ratings
(Refurbished) Dell Precision 7510 Intel Core i7 - 6820HQ Quad Core Processor 6th Gen,"1,29,000",65%,"45,190",No Ratings,No Ratings
(Refurbished) Dell Latitude Laptop 5490 Intel Core i7 Mobile-8th Gen -Processor ,"99,990",72%,"28,490",No Ratings,No Ratings
(Refurbished) Dell Latitude Laptop 5490 Intel Core i5 Mobile-8th Gen -Processor ,"99,990",68%,"31,590",No Ratings,No Ratings
(Refurbished) Lenovo Thinkpad Laptop T460s Ultra Slim Light Weight 1.28KG Intel Core i7 6th Gen - 6600u Processor 4 GB Ram & 256 GB SSD,"89,990",71%,"26,290",No Ratings,No Ratings
(Refurbished) Dell Precision 7510 Intel Core i7 - 6820HQ Quad Core Processor 6th Gen,"1,29,000",69%,"40,590",No Ratings,No Ratings
"Lenovo IdeaPad Slim 5 13th Gen Intel Core i5 13500H 16""(40.6cm) WUXGA IPS Laptop (16GB/512GB SSD/Win 11/Office 2021/Backlit KB/FHD Camera/Alexa/3 Month Game Pass/Cloud Grey/1.89Kg)","1,05,190",32%,"71,690",4.1,25
"Lenovo IdeaPad Slim 5 12th Gen Intel Core i5 12450H 14"" (36cm) WUXGA IPS 300Nits Thin and Light Laptop (16GB/1TB SSD/Win 11/Office 21/BacklitKB/FHD Camera/Alexa/3 Mon Game Pass/Grey/1.9Kg)","82,590",25%,"61,720",4.1,83
