Product Name,Original Price (in Rs.),Discount Percentage,Final Price (in Rs.),Ratings,Total Ratings count
Acer Swift Go 14 AI PC Premium Laptop Intel Core Ultra 7 155H (35.56cm 14-inch IPS Touchscreen WUXGA/16GB/1TB SSD/Intel Arc Graphics/1440p Camera with Shutter/Win 11/MSO)SFG14-73T,"1,29,990",19%,"1,04,999",No Ratings,No Ratings
Acer Swift Go 14 AI PC Premium Laptop Intel Core Ultra 7 155H (35.56cm 14-inch OLED WQXGA+/16GB LPDDR5x/1TB SSD/Intel Arc Graphics/1440p Camera with Shutter/Win 11/MSO) SFG14-73,"1,29,990",19%,"1,04,999",No Ratings,No Ratings
Apple 2022 MacBook Air Laptop with M2 chip: 34.46 cm (13.6-inch) Liquid Retina Display,"1,14,900",17%,"94,990",4.8,52
Dell Inspiron 3520 Laptop,"49,683",28%,"35,999",3.4,9
"Lenovo Ideapad Slim 3 AMD Ryzen 5 7520U 15.6"" (39.6Cm) FHD Thin and Light Laptop (16Gb/512GB SSD/Win 11/Office 2021/Backlit Keyboard/Alexa Built-in/3 Month Game Pass/Arctic Grey/1.62Kg)","74,990",39%,"45,490",3.8,143
ASUS Vivobook 15,"80,990",20%,"64,990",3.6,229
"(Refurbished) HP C640 10th Gen Intel Core i5 Thin & Light Touchscreen FHD Laptop (8 GB DDR4 RAM | 64 GB eMMC + 256 GB MicroSD Card | 14"" (35.6 cm) FHD | Windows 11 | WiFi | Bluetooth | Intel Graphics)","89,999",77%,"20,899",3.6,4
HP Laptop 15s,"52,721",24%,"39,999",3.7,34
"Lenovo ThinkPad E14 AMD Ryzen 5 7530U 14"" (35.56 cm) WUXGA IPS 300 Nits Thin and Light Laptop (16GB RAM/512GB SSD/Win 11/Office 2021/AMD Radeon Graphics/Backlit Keyboard/FPR/Black/1.41 kg)","95,111",44%,"52,990",4.1,88
Acer Nitro 5 Gaming Laptop AMD Ryzen™ 7 7735HS Octa-Core Processor- (16GB/ 512 GB SSD/NVIDIA GeForce RTX 3050 4GB Graphics/Windows 11 Home) AN515-47 with 39.6 Cm (15.6 Inch) IPS Display,"1,05,999",34%,"69,990",4.2,113
HP Chromebook 14a,"28,894",27%,"20,990",3.8,128
"(Refurbished) Lenovo ThinkPad 5th Gen Intel Core i5 Thin & Light HD Laptop (16 GB RAM/512 GB SSD/14"" (35.6 cm) HD/Windows 10 Pro/MS Office/WiFi/Webcam/Intel Graphics)","89,999",79%,"18,996",4.5,24
"(Refurbished) HP C640 10th Gen Intel Core i5 Thin & Light Touchscreen FHD Laptop (8 GB DDR4 RAM | 64 GB eMMC | 14"" (35.6 cm) FHD | Windows 11 | WiFi | Bluetooth | Intel Graphics)","89,999",79%,"19,100",3.6,23
"Lenovo LOQ Intel Core i7-13620H 15.6"" (39.6cm) FHD IPS 144Hz 350Nits Gaming Laptop (16GB/512GB SSD/Win 11/NVDIA RTX 4060 8GB/3 Month Game Pass/Office 2021/Storm Grey/2.4Kg)","1,58,090",37%,"99,990",5,1
"Lenovo IdeaPad Slim 5 13th Gen Intel Core i5 13420H 14"" (35.5cm) WUXGA OLED 400Nits Laptop (16GB/512GB SSD/Win 11/Office 2021/Backlit KB/FHD Camera/Alexa/3 Month Game Pass/Grey/1.46Kg)","94,590",26%,"70,190",3.9,14
"Lenovo IdeaPad Slim 5 13th Gen Intel Core i5 13500H 16""(40.6cm) WUXGA IPS Laptop (16GB/512GB SSD/Win 11/Office 2021/Backlit KB/FHD Camera/Alexa/3 Month Game Pass/Cloud Grey/1.89Kg)","1,05,190",32%,"71,690",4.1,25
"Lenovo IdeaPad Slim 5 12th Gen Intel Core i5 12450H 14"" (36cm) WUXGA IPS 300Nits Thin and Light Laptop (16GB/1TB SSD/Win 11/Office 21/BacklitKB/FHD Camera/Alexa/3 Mon Game Pass/Grey/1.9Kg)","82,590",25%,"61,720",4.1,83
Dell 14 Laptop,"57,778",39%,"34,990",3.8,499
Dell 15 Laptop,"51,254",22%,"39,990",4.3,19
Dell Inspiron 3530 Laptop,"87,262",30%,"60,990",3.7,68
"Lenovo IdeaPad Gaming 3 11th Gen Intel Core i5-11320H 15.6"" (39.62cm) FHD IPS 144Hz Gaming Laptop (8GB/512GB SSD/Win 11/NVIDIA RTX 2050 4GB/Alexa/3 Month Game Pass/Shadow Black/2.25Kg)","79,290",34%,"52,060",4,101
HP Pavilion 15,"61,886",18%,"50,932",4.3,232
"HP Pavilion X360 11th Gen Intel Core i7 14"" (35.6cm) FHD Multitouch 2in1 Laptop (16Gb Ram/512Gb Ssd/B&O/Win 11 Home/FPR/Backlit Kb/Intel Iris Xe Graphics/Pen/Alexa/Ms Office/Silver/1.52Kg)14-Dy1047Tu","85,999",6%,"80,999",3.9,154
Apple 2022 MacBook Air Laptop with M2 chip: 34.46 cm (13.6-inch) Liquid Retina Display,"1,14,900",17%,"94,990",4.6,116
"Lenovo IdeaPad Slim 3 13th Gen Intel Core i5-13420H 15.6"" (39.6cm) FHD 300 Nits Thin & Light Laptop (16GB/512GB SSD/Win 11/Office 21/1 Yr Warranty + ADP/Alexa/3 Month Game Pass/Grey/1.62Kg)","81,890",28%,"59,275",3.4,4
"(Refurbished) Dell Latitude 14 7400 14"" Notebook - Intel Core i7-8665U - 16GB RAM - 512GB SSD","99,000",69%,"30,271",3.9,135
Apple 2022 MacBook Air Laptop with M2 chip: 34.46 cm (13.6-inch) Liquid Retina Display,"1,14,900",17%,"94,990",4.5,71
HP OMEN Gaming Laptop,"1,75,024",21%,"1,38,990",4.5,8
ASUS Vivobook Go 15 (2023),"67,990",29%,"47,990",4,92
Acer Aspire Lite 12th Gen Intel Core i5-1235U Thin and Light Laptop (Windows 11 Home/16GB RAM/512GB SSD/Intel Iris Xe Graphics) AL15-52,"58,900",19%,"47,500",3.8,377
HP Pavilion 15,"1,02,918",12%,"90,100",4,33
"Lenovo S14 Intel Core I5 12th Gen 14"" (35.56 cm) FHD IPS (1920x1080) Antiglare 300Nits Thin and Light Laptop (8GB RAM/512GB SSD/Windows 11 Pro/Backlit/Cloud Grey/1.5 kg/3Y Premium Care)","1,26,628",62%,"48,490",3.2,29
Chuwi FreeBook 13.5 Inch 2 in 1 Touchscreen Laptop,"49,990",24%,"37,990",3.7,129
Acer Swift Go 14 AI PC Premium Laptop Intel Core Ultra 7 155H (35.56cm 14-inch IPS Touchscreen WUXGA/16GB/1TB SSD/Intel Arc Graphics/1440p Camera with Shutter/Win 11/MSO)SFG14-73T,"1,29,990",19%,"1,04,999",No Ratings,No Ratings
Acer Swift Go 14 AI PC Premium Laptop Intel Core Ultra 7 155H (35.56cm 14-inch OLED WQXGA+/16GB LPDDR5x/1TB SSD/Intel Arc Graphics/1440p Camera with Shutter/Win 11/MSO) SFG14-73,"1,29,990",19%,"1,04,999",No Ratings,No Ratings
ASUS TUF Gaming F17 (2022),"1,05,990",33%,"70,990",3.9,41
"Lenovo IdeaPad Gaming 3 AMD Ryzen 5 5500H 15.6"" (39.62cm) FHD IPS 300nits 144Hz Gaming Laptop (8GB/512GB SSD/Windows 11/NVIDIA RTX 2050 4GB/Alexa/3 Month Game Pass/Shadow Black/2.32Kg)","77,990",38%,"47,990",3.8,20
ASUS Vivobook 15 (2023),"57,990",31%,"39,990",4.2,97
Dell G15 5530 Gaming Laptop,"1,30,125",23%,"99,990",4.1,270
HP Laptop 15s,"49,025",27%,"35,990",4,185
ASUS ROG Strix G17 (2022),"1,13,990",30%,"79,990",4.1,31
Apple 2022 MacBook Air Laptop with M2 chip: 34.46 cm (13.6-inch) Liquid Retina Display,"1,44,900",25%,"1,07,990",4.6,11
(Refurbished) DELL Latitude 5490 Core i5 7th Gen Laptop,"76,555",70%,"22,970",3.2,33
ASUS TUF Gaming F15,"1,16,990",29%,"82,990",4.2,64
HP 245 G9 AMD Processor Ryzen 3 3250U Dual Core - (8 GB/512 GB SSD/DOS) 841W7PA Thin and Light Laptop (14 inch,"40,048",31%,"27,490",3.8,4
"Acer Aspire 5 Gaming Laptop Intel Core i5 12th gen (16 GB/512 GB SSD/Win11 Home/4GB Graphics/RTX 2050) A515-57G (15.6"" FHD Display","84,999",35%,"54,990",4,"1,173"
HP Laptop 15,"59,109",29%,"41,990",5,2
"Lenovo IdeaPad Slim 5 13th Gen Intel Core i5 13420H 14"" (35.5cm) WUXGA OLED 400Nits Laptop (16GB/512GB SSD/Win 11/Office 2021/Backlit KB/FHD Camera/Alexa/3 Month Game Pass/Grey/1.46Kg)","94,590",26%,"70,190",3.9,14
"Lenovo IdeaPad Slim 5 13th Gen Intel Core i5 13500H 16""(40.6cm) WUXGA IPS Laptop (16GB/512GB SSD/Win 11/Office 2021/Backlit KB/FHD Camera/Alexa/3 Month Game Pass/Cloud Grey/1.89Kg)","1,05,190",32%,"71,690",4.1,25
"Lenovo IdeaPad Slim 5 12th Gen Intel Core i5 12450H 14"" (36cm) WUXGA IPS 300Nits Thin and Light Laptop (16GB/1TB SSD/Win 11/Office 21/BacklitKB/FHD Camera/Alexa/3 Mon Game Pass/Grey/1.9Kg)","82,590",25%,"61,720",4.1,83
Dell 14 Laptop,"57,778",39%,"34,990",3.8,499
Dell 15 Laptop,"51,254",22%,"39,990",4.3,19
Dell Inspiron 3530 Laptop,"87,262",30%,"60,990",3.7,68
"(Refurbished) HP C640 10th Gen Intel Core i5 Thin & Light Touchscreen FHD Laptop (8 GB DDR4 RAM | 64 GB eMMC + 64GB MicroSD Card | 14"" (35.6 cm) FHD | Windows 11 | WiFi | Bluetooth | Intel Graphics)","89,999",78%,"19,899",4,2
"Lenovo IdeaPad Slim 5 AMD Ryzen 7 7730U 14"" (35.5cm) WUXGA+ IPS Laptop (16GB/512GB SSD/Win 11/Office 2021/Backlit KB/FHD IR Camera/Alexa/3 Month Game Pass/Arctic Grey/1.46Kg)","97,590",38%,"60,690",4.3,20
HP Pavilion x360,"92,746",18%,"76,321",3.4,45
ASUS Vivobook Go 14 (2023),"62,990",38%,"38,990",4,14
HP Laptop 14s,"55,691",20%,"44,600",4.2,"1,157"
"(Refurbished) Lenovo ThinkPad 7th Gen Intel Core i5 Thin & Light Touchscreen HD Laptop (16 GB DDR4 RAM/256 GB SSD/14"" (35.6 cm) HD/Windows 11/Laptop Cooling Pad/MS Office/WiFi/Webcam/Intel Graphics)","89,999",77%,"20,399",3,3
Lenovo S14 G3 12th Gen Intel Core i5-1235U with 8GB DDR4 Ram,"89,450",47%,"46,990",4.6,10
"(Refurbished) Dell Latitude E5440 4th Gen Intel Core i5 Thin & Light HD Laptop (8 GB RAM/500 GB HDD/14"" (35.6 cm) HD Display/Windows 10 Pro/MS Office/WiFi/Webcam/Intel Graphics)","89,999",84%,"14,499",5,1
ASUS Vivobook S15 OLED 2022,"98,990",24%,"74,990",4.1,517
